id	filename	md5	size	state
053be7da-99e3-4871-992f-9b4ac3f73734	053be7da-99e3-4871-992f-9b4ac3f73734/36985739-8b0f-4ec4-a58b-2b1d9bc6babe.wxs.aliquot_ensemble_masked.maf.gz	415f62fc2c03b2ff3ae9674e5be19e2a	35872	validated
0586bce4-cc53-4cf8-aebe-3d76f74d36ea	0586bce4-cc53-4cf8-aebe-3d76f74d36ea/da604605-6655-4abd-a062-cbabbbd037d2.wxs.aliquot_ensemble_masked.maf.gz	cfaf5aecfc92f6233dbde1a8c9a8ffa1	25856	validated
05c12bbb-4a67-40da-90a3-fb696d51dec2	05c12bbb-4a67-40da-90a3-fb696d51dec2/4b4eae6a-5e56-4d4c-9b3c-32c6e9f0aa75.wxs.aliquot_ensemble_masked.maf.gz	137a8d3dd3d964d36a5b0c1348a7799e	16136	validated
05f39e7e-9cad-425d-94b8-ba1c951d63cc	05f39e7e-9cad-425d-94b8-ba1c951d63cc/2526108f-1f09-4abf-a12a-0f05c3ba1bae.wxs.aliquot_ensemble_masked.maf.gz	fa7f53a01c31818bbe6e493839eb4057	58592	validated
05f41061-01b4-498c-bf4a-fb326ae35ce1	05f41061-01b4-498c-bf4a-fb326ae35ce1/cd6b6226-6b67-482e-b8e8-5506406e4f67.wxs.aliquot_ensemble_masked.maf.gz	983257015f0f6467e366c84245d36175	23067	validated
05fe8dd3-a590-4b76-9bec-3aecac51a27e	05fe8dd3-a590-4b76-9bec-3aecac51a27e/d4117978-2967-49e1-a499-fe4db34c0e26.wxs.aliquot_ensemble_masked.maf.gz	0062b2b38152846749cb33752056c287	28635	validated
06658756-cb3e-4429-ac46-9755725167d9	06658756-cb3e-4429-ac46-9755725167d9/c676cb98-e7fc-4dd8-bcea-f9bdc824c383.wxs.aliquot_ensemble_masked.maf.gz	3d2e6501165d38b6726768a7f2374455	19166	validated
06799747-e3fd-452c-a4a9-a5f67a519d25	06799747-e3fd-452c-a4a9-a5f67a519d25/a94919e2-a03d-46bd-8be4-886389203fca.wxs.aliquot_ensemble_masked.maf.gz	740208bb5c45efae166d9fc43c419249	1627	validated
06a14f03-d750-46c5-b293-77076046e459	06a14f03-d750-46c5-b293-77076046e459/3ea8cc1d-0975-4b21-a9b6-ccf7791a4650.wxs.aliquot_ensemble_masked.maf.gz	37d98c1af2f7403c2513873748547c47	24088	validated
06bfe318-0802-4c24-bf7d-64868b55a49f	06bfe318-0802-4c24-bf7d-64868b55a49f/e90257c2-6dea-4923-90a0-0b822d0490b1.wxs.aliquot_ensemble_masked.maf.gz	61d2d808b7a1a409036f54936580cc03	35064	validated
0717aed2-ed1d-422d-8628-38959eb8354f	0717aed2-ed1d-422d-8628-38959eb8354f/91889140-4762-4923-be94-4f764fe7dd48.wxs.aliquot_ensemble_masked.maf.gz	9ce1e7eb934004bbb0a8a2f73ba4c265	250685	validated
07e9505b-62df-4152-b6a5-02f51ca8d595	07e9505b-62df-4152-b6a5-02f51ca8d595/0670fbd0-5f37-4935-b763-e440a58f08f5.wxs.aliquot_ensemble_masked.maf.gz	b28a014d6a76737d0cfd0ab990c58a95	224165	validated
081ea0e8-f496-48e9-a1f4-472bc71bf011	081ea0e8-f496-48e9-a1f4-472bc71bf011/5c6eb9f8-9e37-47f8-bd0b-150602ff9a27.wxs.aliquot_ensemble_masked.maf.gz	9c9d22a39567b634e042ed06e2b3f6ec	322499	validated
0876f42c-37d3-44a1-81ed-7e78052f4027	0876f42c-37d3-44a1-81ed-7e78052f4027/af9b2201-ec72-4f23-b435-f03dacd4db81.wxs.aliquot_ensemble_masked.maf.gz	84239109c86d51abfd19544179f5a99f	25181	validated
0961ee2a-41a3-49ee-8b15-95d191479279	0961ee2a-41a3-49ee-8b15-95d191479279/b409c035-d080-4a48-a8b3-bcb8999a2391.wxs.aliquot_ensemble_masked.maf.gz	bdb75d5fa846bbc18afe820e9a1a143f	30345	validated
09fee82d-b21b-41c6-8943-0171b3397c4a	09fee82d-b21b-41c6-8943-0171b3397c4a/3a69ef64-dd6e-42f4-8faf-88c02cc05959.wxs.aliquot_ensemble_masked.maf.gz	6c2c8b0097f873911a5ad83bff2bad2b	34635	validated
0a6b44bc-df01-4cc6-a128-11e2fa99abdf	0a6b44bc-df01-4cc6-a128-11e2fa99abdf/f51be0fb-25fe-4335-97bb-5c38a931c800.wxs.aliquot_ensemble_masked.maf.gz	61b58661fafba0522f31ea9029c18adf	16221	validated
0a783adc-736b-4a00-b8d8-0c5fa3ceca40	0a783adc-736b-4a00-b8d8-0c5fa3ceca40/962d3315-c5e0-4863-9d66-822138c807aa.wxs.aliquot_ensemble_masked.maf.gz	cbed2849c4ded72cdf0465e794bfae75	43591	validated
